id,pourcentage_de_sensibilite
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.04380766096729981
435,0.0008391047678447499
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.7783718742007562
525,0.2864377907284321
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
610,0.0
611,0.0
612,0.0
613,0.04543006986820343
614,0.9987641213745857
615,0.9303847763783036
616,0.01728178992596543
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
700,0.0
701,0.0
702,0.0
703,0.18679136137939048
704,1.0
705,1.0
706,0.19038317303221466
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
790,0.0
791,0.0
792,0.11707784378531155
793,0.8296501383762847
794,1.0
795,0.9115321689512373
796,0.05221826842156577
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
880,0.0
881,0.11145043907076994
882,0.8633755537512056
883,1.0
884,0.8325982317115617
885,0.1727726739492884
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
970,0.12308788927663414
971,0.85891173316888
972,1.0
973,0.9028454039172371
974,0.11826946316870181
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.09211341166937638
1439,0.13769944774897944
1440,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.020564659714354807
1526,0.2046263025082259
1527,0.847181531094001
1528,0.9999997546645208
1529,0.9992939213517313
1530,0.08425160956126675
1610,0.0
1611,0.16232004526510896
1612,0.699210277965357
1613,0.7641736985776545
1614,0.852347249197366
1615,0.9829676115689719
1616,1.0
1617,1.0
1618,1.0
1619,0.910714428368695
1620,0.0
1700,0.4804020714951871
1701,0.9249198479310625
1702,1.0
1703,1.0
1704,1.0
1705,1.0
1706,1.0
1707,1.0
1708,1.0
1709,0.8681017429756681
1710,0.0
1790,1.0
1791,1.0
1792,1.0
1793,1.0
1794,1.0
1795,1.0
1796,1.0
1797,1.0
1798,0.5851288501350302
1799,0.193710859979227
1800,0.0
1880,1.0
1881,1.0
1882,0.9996737276793003
1883,0.8405320202252528
1884,0.6025638713751686
1885,0.38277414355577977
1886,0.4399249894727557
1887,0.5953701155727433
1888,0.014119696199601729
1889,0.0
1890,0.0
1060,0.7045775003364371
1061,1.0
1062,1.0
1063,0.32448579719947107
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1150,0.9438621350426766
1151,1.0
1152,0.783217637833341
1153,0.0004887184994577987
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1240,1.0
1241,1.0
1242,0.3151308576436713
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1330,1.0
1331,0.8329996196486212
